colName,description,unit,dataType,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
TEMP_B(7),temperature for sensor B at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_B(8),temperature for sensor B at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_B(9),temperature for sensor B at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
VWC_C(1),volumetric water content for sensor C at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_C(2),volumetric water content for sensor C at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_C(3),volumetric water content for sensor C at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_C(4),volumetric water content for sensor C at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_C(5),volumetric water content for sensor C at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_C(6),volumetric water content for sensor C at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_C(7),volumetric water content for sensor C at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_C(8),volumetric water content for sensor C at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_C(9),volumetric water content for sensor C at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_C(1),salinity for sensor C at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_C(2),salinity for sensor C at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_C(3),salinity for sensor C at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_C(4),salinity for sensor C at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_C(5),salinity for sensor C at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_C(6),salinity for sensor C at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_C(7),salinity for sensor C at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_C(8),salinity for sensor C at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
SAL_C(9),salinity for sensor C at 90 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
TEMP_C(1),temperature for sensor C at 10 cm depth,deg C,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
TEMP_C(2),temperature for sensor C at 20 cm depth,deg C,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
TEMP_C(3),temperature for sensor C at 30 cm depth,deg C,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
TEMP_C(4),temperature for sensor C at 40 cm depth,deg C,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
TEMP_C(5),temperature for sensor C at 50 cm depth,deg C,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
TEMP_C(6),temperature for sensor C at 60 cm depth,deg C,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
TEMP_C(7),temperature for sensor C at 70 cm depth,deg C,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
TEMP_C(8),temperature for sensor C at 80 cm depth,deg C,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
TEMP_C(9),temperature for sensor C at 90 cm depth,deg C,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
VWC_D(1),volumetric water content for sensor D at 10 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
VWC_D(2),volumetric water content for sensor D at 20 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
VWC_D(3),volumetric water content for sensor D at 30 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
VWC_D(4),volumetric water content for sensor D at 40 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
VWC_D(5),volumetric water content for sensor D at 50 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
VWC_D(6),volumetric water content for sensor D at 60 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
VWC_D(7),volumetric water content for sensor D at 70 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
VWC_D(8),volumetric water content for sensor D at 80 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
VWC_D(9),volumetric water content for sensor D at 90 cm depth [CONFIRM UNITS],percent,numeric,Sentek EnviroScan,,,,90,90,depth,atmosphere
SAL_D(1),salinity for sensor D at 10 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,10,10,depth,atmosphere
SAL_D(2),salinity for sensor D at 20 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,20,20,depth,atmosphere
SAL_D(3),salinity for sensor D at 30 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,30,30,depth,atmosphere
SAL_D(4),salinity for sensor D at 40 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,40,40,depth,atmosphere
SAL_D(5),salinity for sensor D at 50 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,50,50,depth,atmosphere
SAL_D(6),salinity for sensor D at 60 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,60,60,depth,atmosphere
SAL_D(7),salinity for sensor D at 70 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,70,70,depth,atmosphere
SAL_D(8),salinity for sensor D at 80 cm depth [CONFIRM UNITS],volumetric ion content,numeric,Sentek EnviroScan,,,,80,80,depth,atmosphere
